questions,answers
Explain the principle and working of a biogas plant. ,"The waste of living organisms like cow dung, various plant materials like the residue after harvesting of crops, vegetable waste and sewage etc. form biomass. During the decay of biomass, in the absence of oxygen, biogas is produced in the biogas plant. A slurry of cow dung and water is made in the mixing tank from where it is fed into the digester. In the digester tank, anaerobic micro-organisms decompose complex molecules of cowdung slurry and produce biogas.  3 Nuclear Fission Nuclear Fusion A large nucleus breaks Two smaller nuclei fuse or into two smaller nuclei join together to form own and releases a large nucleus and releases large amount of energy. amount of energy.  1"
"Draw a neat diagram of a biogas plant and label  inlet of slurry,  digester and  gas outlet. ",Slurry of cattle dung and water Mixing Slab cover tank Dome
Name the process by which nuclear energy is generated and also name one substance used for it. Give two advantages and two hazards of nuclear energy. ,"The process is nuclear fission. Substances are uranium, plutonium, thorium. ½ Advantages :  For a given amount of fuel, the amount of energy released is extraordinarily large.  Nuclear power plants can be set up at any place.½ Hazards :  Improper nuclear waste storage and disposal result in environmental contamination.  Further there is a risk of accidental leakage of nuclear radiation.   Ground level Inlet chamber Dung and water mixture Underground digester tank Cutlet for Slab bio-gas cover Gas valve Over flow tank Spent slurry Brick lining Outlet chamber Concrete  3"
"If energy can neither be created nor destroyed, explain with an example why we should worry about our energy resources ? ","Energy used is dissipated in less usable form. The energy used is consumed and cannot be used again. Example : Burning of candle → light + heat but products cannot produce chemical energy   3 Detailed Answer : The law of conservation of energy states that energy can neither be created nor be destroyed. But, it can only be converted from one form to another. Despite this fact, the world is facing energy crisis. The reason behind it is that energy is converted into non-usable forms. Fossil fuels like coal, petroleum etc. are the sources of energy which have accumulated in nature over a long time and cannot be replaced. We should worry about such sources because these sources of energy are getting depleted and sooner or late, will no longer be available to us."
Write two points of differences between renewable and non-renewable sources of energy. Give one example of each. ,"Renewable - Supply can be renewed, Environment friendly. Eg : wind, sun, water  Non-Renewable - Supply is limited, cause environment pollution. Eg : coal, petroleum   3 Detailed Answer : S. No. Renewable source of energy Non-renewable source of energy  Produced continuously Takes long time for proin nature and are inex- duction and may get haustible. exhausted.  These sources of en- These sources are the ergy do not cause any major cause of environpollution. mental pollution.  Example - Wind, Sun, Example - Coal, PetroWater leum"
Make a list of three features due to which L.P.G is considered to be a good fuel ? , Releases large amount of energy on burning  easy to store  easy to transport  does not produce smoke  environment friendly   1×3
List two ways in which animal dung can be utilized as a fuel. Out of these two which one do you think is better ? Justify your answer. ,"Two ways :  as cowdung cakes,  as biogas. Biogas is better than cowdung cakes because it has high heating capacity and are non-polluting as it burns without smoke and leaves no residue like ash. Slurry left in the biogas plant is a good manure for fields. "
"List any three parameters, which categorizes any source of energy as a good source of energy. ", Does large amount of work per unit volume or mass.  Easy to store and transport.  It should be economical and easily accessible.  1 + 1 + 1
List any three qualities of an ideal source of energy. ,An ideal source of energy has following qualities :  Production of large amount of heat/energy.  Easily accessible and easy to store within less space.  Less or no production of toxic by products.1 + 1 + 1
State any three advantages of using charcoal over wood ? , It produces large amount of heat energy.  It is smokeless and pollution free.  It is easy to store and transport.
 List any two criteria for selecting a good fuel.  Explain how does burning of fossil fuels cause air and soil pollution. ," Criteria for selecting a good fuel : 		 Would do a large amount of work per unit volume or mass. 		 be easily accessible. 		 be easy to store and transport.   Burning of fuels releases gases like CO2, SO2, NO2. These causes air pollution. With rain, these pollutants fall as acid rain and causes soil pollution.  1"
Biomass is the material contained in the bodies of plants and animals. It includes the waste from trees and grass crops forestry agricultural and urban wastes. The excreta of living organisms and their bodies after death also contributes biomass.  Comment on the statement ‘‘Biomass is a fuel”. Justify the statement by giving two reasons.  What is Bagasse ?,Ans. Reasons :  It is a traditional source of energy which is used in domestic as well as industrial area.  Usually firewood is burnt in traditional Chulhas. 2  Baggage is a residue of sugarcane after extracting juice from them.
