question,answer,context
Why are dry fruits and vegetables sold in sealed air packets these days ?,These days dry fruits and even vegetables are sold in sealed air tight packets to prevent the attack of microbes.,"Similarly, we keep our food in the refrigerator. Low temperature inhibits the growth of microbes.
 "
How animals get proteins and other nitrogen compounds ?,Animals feeding on plants get proteins and other nitrogen compounds.,"nitrogen cannot be taken directly by plants and animals. Certain bacteria and blue green algae present in the soil fix nitrogen from the atmosphere and convert it into compounds of nitrogen. Once nitrogen is converted into these usable compounds, it can be utilised by plants from the soil through their root system. Nitrogen is then used for the synthesis of plant proteins and other compounds. Animals feeding on plants get these proteins and other nitrogen compounds (Fig. 2.10). When plants and animals die, bacteria and fungi present in the soil convert the nitrogenous wastes into nitrogenous compounds to be used by plants again. Certain other bacteria convert some part of them to nitrogen gas which goes back into the atmosphere. As a result, the percentage of nitrogen in the atmosphere remains more or less constant.
 "
What are inexhaustible natural resources ?,"These resources are present in unlimited quantity in nature and are not likely to be exhausted by human activity. e.g., sunlight, air.","e use various materials for our basic needs. Some of them are found in nature and some have been made by human efforts.
 Activity 5.1 Make a list of various materials used by us in daily life and classify them as natural and man-made. Natural
 Can air, water and soil be exhausted by human activities? You have already studied about water in Class VII. Is water a limitless resource? In the light of the availability of various resources in nature, natural resources can be broadly classified into two kinds: (i) Inexhaustible Natural Resources: These resources are present in unlimited quantity in nature and are not likely to be exhausted by human activities. Examples are: sunlight, air.
 Can air, water and soil be exhausted by human activities? You have already studied about water in Class VII. Is water a limitless resource? In the light of the availability of various resources in nature, natural resources can be broadly classified into two kinds: (i) Inexhaustible Natural Resources: These resources are present in unlimited quantity in nature and are not likely to be exhausted by human activities. Examples are: sunlight, air.
 Man-made
 (ii) Exhaustible Natural Resources: The amount of these resources in nature is limited. They can be exhausted by human activities. Examples of these resources are forests, wildlife, minerals, coal, petroleum, natural gas etc.
 (ii) Exhaustible Natural Resources: The amount of these resources in nature is limited. They can be exhausted by human activities. Examples of these resources are forests, wildlife, minerals, coal, petroleum, natural gas etc.
 Activity 5.2 (It is a group activity) Does this list include air, water, soil and minerals? Since all these are obtained from nature, they are called natural resources.
 Activity 5.2 (It is a group activity) Does this list include air, water, soil and minerals? Since all these are obtained from nature, they are called natural resources.
 Can we use all our natural resources forever ?
 "
What are exhaustible natural resources ?,"The amount of these resources in nature are limited. They can be exhausted by human activities. e.g., coal, petroleum, natural gas.","Can air, water and soil be exhausted by human activities? You have already studied about water in Class VII. Is water a limitless resource? In the light of the availability of various resources in nature, natural resources can be broadly classified into two kinds: (i) Inexhaustible Natural Resources: These resources are present in unlimited quantity in nature and are not likely to be exhausted by human activities. Examples are: sunlight, air.
 Man-made
 (ii) Exhaustible Natural Resources: The amount of these resources in nature is limited. They can be exhausted by human activities. Examples of these resources are forests, wildlife, minerals, coal, petroleum, natural gas etc.
 (ii) Exhaustible Natural Resources: The amount of these resources in nature is limited. They can be exhausted by human activities. Examples of these resources are forests, wildlife, minerals, coal, petroleum, natural gas etc.
 Activity 5.2 (It is a group activity) Does this list include air, water, soil and minerals? Since all these are obtained from nature, they are called natural resources.
 Can we use all our natural resources forever ?
 "
What are fossil fuels ?,"Some exhaustible natural resources are formed from the dead remains of living organisms. Hence, these are all known as fossil fuels.","Coal, petroleum and natural gas are fossil fuels.
 COAL GAS Ü COAL TAR
 Fossil fuels were formed from the dead remains of living organisms millions of years ago.
 Fossil fuels were formed from the dead remains of living organisms millions of years ago.
 "
What happens when coal is heated in air ?,"When coal gets heated in air, it burns and produces mainly carbon dioxide gas.","When heated in air, coal burns and produces mainly carbon dioxide gas. Coal is processed in industry to get some useful products such as coke, coal tar and coal gas. Coke It is a tough, porous and black substance. It is an almost pure form of carbon. Coke is used in the manufacture of steel and in the extraction of many metals.
 "
Name some useful products obtained from coal when it is processed in industry.,"Coal is processed in industry to get some useful products such as coke, coal-tar and coal gas.","When heated in air, coal burns and produces mainly carbon dioxide gas. Coal is processed in industry to get some useful products such as coke, coal tar and coal gas. Coke It is a tough, porous and black substance. It is an almost pure form of carbon. Coke is used in the manufacture of steel and in the extraction of many metals.
 about 200 substances. Products obtained from coal tar are used as starting materials for manufacturing various substances used in everyday life and in industry, like synthetic dyes, drugs, explosives, per fumes, plastics, paints, photographic materials, roofing materials, etc. Interestingly, naphthalene balls used to repel moths and other insects are also obtained from coal tar. These days, bitumen, a petroleum product, is used in place of coal-tar for metalling the roads.
 about 200 substances. Products obtained from coal tar are used as starting materials for manufacturing various substances used in everyday life and in industry, like synthetic dyes, drugs, explosives, per fumes, plastics, paints, photographic materials, roofing materials, etc. Interestingly, naphthalene balls used to repel moths and other insects are also obtained from coal tar. These days, bitumen, a petroleum product, is used in place of coal-tar for metalling the roads.
 Coal Tar It is a black, thick liquid (Fig. 5.3) with an unpleasant smell. It is a mixture of
 Coal Gas Coal gas is obtained during the processing of coal to get coke. It is used Coal gas was used for street lighting for the first time in London in 1810 and in New York around 1820. Now a days, it is used as a source of heat rather than light.
 "
Write one use of coal.,Coal is also used in thermal power plants to produce electricity.,"Coal is one of the fuels used to cook food. Earlier, it was used in railway engines to produce steam to run the engine. It is also used in thermal power plants to produce electricity. Coal is also used as a fuel in various industries. Story of Coal
 "
When was coal gas first used for street lightning in London ?,Coal gas was used for street lighting for the first time in London in 1810 and in New York around 1820.,"Coal Gas Coal gas is obtained during the processing of coal to get coke. It is used Coal gas was used for street lighting for the first time in London in 1810 and in New York around 1820. Now a days, it is used as a source of heat rather than light.
 "
Where is oil found in India ?,"Oil is found in India at Assam, Gujarat, Mumbai High and in the river basins of Godavari and Krishna.","transformed the dead organisms into petroleum and natural gas. Look at Fig. 5.4. It shows the deposits of petroleum and natural gas. You see that the layer containing petroleum oil and gas is above that of water. Why is it so? Recall that oil and gas are lighter than water and do not mix with it. The world’s first oil well was drilled in Pennsylvania, USA, in 1859. Eight years later, in 1867, oil was struck at Makum in Assam. In India, oil is found in Assam, Gujarat, Mumbai High and in the river basins of Godavari and Krishna.
 PETROLEUM
 refining petroleum. Ü
 PETROLEUM
 "
Why petroleum is also called black gold ?,"Due to its great commercial importance, petroleum is also called ‘Black Gold’.","PETROLEUM
 refining petroleum. Ü
 PETROLEUM
 PETROLEUM
 "
What are the uses of diesel ?,"Diesel is used as fuel for heavy motor vehicles, electric generators etc.","Diesel
 Fuel for heavy motor vehicles, electric generators
 Fuel for heavy motor vehicles, electric generators
 "
What are good conductors of electricity ?,The materials that allow electric current to pass through them are called good conductors of electricity.,"Lightning Conductor is a device used to protect buildings from the effect of lightning. A metallic rod, taller than the building, is installed in the walls of the building during its construction. One end of the rod is kept out in the air and the other is buried deep in the ground (Fig. 15.7). The rod provides easy route for the transfer of electric charge to the ground. The metal columns used during construction, electrical wires and water pipes in the buildings also protect us to an extent. But do not touch them during a thunderstorm.
 "
Give two examples of good conductors.,"Silver, copper.","(v) Copper
 "
Why is it dangerous to touch electrical appliances with wet hand ?,"Our body is a good conductor of electricity and wet hands are also good conductors. Hence, by touching electrical appliances with wet hands electricity passes through our body and we feel a shock.","our elders might have cautioned you against touching an electrical appliance with wet hands. But do you know why it is dangerous to touch an electrical appliance with wet hands? We have learnt earlier that the materials, which allow electric current to pass through them, are good conductors of electricity. On the other hand, materials, which do not allow electric current to pass through them easily, are poor conductors of electricity. In Class VI, we made a tester to test whether a particular material allows the electric current to pass through it or not. Do you recall how the tester helped us in deciding that? We found that metals such as copper and aluminium conduct electricity whereas materials such as rubber,
 "
What is electric current ?,The flow of electricity is called electric current.,"When charges move, they constitute an electric current.
 "
Which effect of current causes the bulbs to glow ?,Heating effect.,"and a part is reflected back into space. A part of the reflected radiation is trapped by the atmosphere. The trapped radiations further warm the earth. If you have seen a greenhouse in a nursery or elsewhere, recall that the sun’s heat is allowed to get in but is not allowed to go out. The trapped heat warms the green house. The trapping of radiations by the earth’s atmosphere is similar. That is why it is called the greenhouse effect. Without this process, life would not have been possible on the earth. But now it threatens life. Excess of CO2 in the air is one of the gases responsible for this effect. You know that CO2 is one of the components of air. You have also studied
 18.4 Greenhouse Effect You know that the sun’s rays warm the earth’s surface. A part of the radiation that falls on the earth is absorbed by it 242
 EFFECT
 "
What is the magnetic effect of electric current ?,The electric current also produces magnetic effect. A current carrying conductor behaves like a magnet.,"metal on another material, by means of electricity, is called electroplating.
 "
What is distilled water ?,The water that does not contain salts is called distilled water.,"Take about two teaspoonfuls of distilled water in a clean and dry plastic or rubber cap of a bottle. (You may obtain distilled water from your school science lab. You may also get distilled water from a medical store or a doctor or a nurse). Use the tester to test whether distilled water conducts electricity or not. What do you find? Does distilled water conduct electricity? Now dissolve a pinch of common salt in distilled water. Again test. What do you conclude this time?
 Actually, under certain conditions most materials can conduct. That is why it is preferable to classify materials as good conductors and poor conductors instead of classifying as conductors and insulators.
 When salt is dissolved in distilled water, we obtain salt solution. This is a conductor of electricity. The water that we get from sources such as taps, hand pumps, wells and ponds is not pure. It may contain several 175
 When salt is dissolved in distilled water, we obtain salt solution. This is a conductor of electricity. The water that we get from sources such as taps, hand pumps, wells and ponds is not pure. It may contain several 175
 "
What are electrodes ?,The metal rods dipped in liquids to which a cell is attached are called electrodes. 1,"ELECTRODE
 "
What are inexhaustible natural resources ?,"These resources are present in unlimited quantity in nature and are not likely to be exhausted by human activity. e.g., sunlight, air.","e use various materials for our basic needs. Some of them are found in nature and some have been made by human efforts.
 Activity 5.1 Make a list of various materials used by us in daily life and classify them as natural and man-made. Natural
 Can air, water and soil be exhausted by human activities? You have already studied about water in Class VII. Is water a limitless resource? In the light of the availability of various resources in nature, natural resources can be broadly classified into two kinds: (i) Inexhaustible Natural Resources: These resources are present in unlimited quantity in nature and are not likely to be exhausted by human activities. Examples are: sunlight, air.
 Can air, water and soil be exhausted by human activities? You have already studied about water in Class VII. Is water a limitless resource? In the light of the availability of various resources in nature, natural resources can be broadly classified into two kinds: (i) Inexhaustible Natural Resources: These resources are present in unlimited quantity in nature and are not likely to be exhausted by human activities. Examples are: sunlight, air.
 Man-made
 (ii) Exhaustible Natural Resources: The amount of these resources in nature is limited. They can be exhausted by human activities. Examples of these resources are forests, wildlife, minerals, coal, petroleum, natural gas etc.
 (ii) Exhaustible Natural Resources: The amount of these resources in nature is limited. They can be exhausted by human activities. Examples of these resources are forests, wildlife, minerals, coal, petroleum, natural gas etc.
 Activity 5.2 (It is a group activity) Does this list include air, water, soil and minerals? Since all these are obtained from nature, they are called natural resources.
 Activity 5.2 (It is a group activity) Does this list include air, water, soil and minerals? Since all these are obtained from nature, they are called natural resources.
 Can we use all our natural resources forever ?
 "
What are exhaustible natural resources ?,"The amount of these resources in nature are limited. They can be exhausted by human activities. e.g., coal, petroleum, natural gas.","Can air, water and soil be exhausted by human activities? You have already studied about water in Class VII. Is water a limitless resource? In the light of the availability of various resources in nature, natural resources can be broadly classified into two kinds: (i) Inexhaustible Natural Resources: These resources are present in unlimited quantity in nature and are not likely to be exhausted by human activities. Examples are: sunlight, air.
 Man-made
 (ii) Exhaustible Natural Resources: The amount of these resources in nature is limited. They can be exhausted by human activities. Examples of these resources are forests, wildlife, minerals, coal, petroleum, natural gas etc.
 (ii) Exhaustible Natural Resources: The amount of these resources in nature is limited. They can be exhausted by human activities. Examples of these resources are forests, wildlife, minerals, coal, petroleum, natural gas etc.
 Activity 5.2 (It is a group activity) Does this list include air, water, soil and minerals? Since all these are obtained from nature, they are called natural resources.
 Can we use all our natural resources forever ?
 "
What are fossil fuels ?,"Some exhaustible natural resources are formed from the dead remains of living organisms. Hence, these are all known as fossil fuels.","Coal, petroleum and natural gas are fossil fuels.
 COAL GAS Ü COAL TAR
 Fossil fuels were formed from the dead remains of living organisms millions of years ago.
 Fossil fuels were formed from the dead remains of living organisms millions of years ago.
 "
What happens when coal is heated in air ?,"When coal gets heated in air, it burns and produces mainly carbon dioxide gas.","When heated in air, coal burns and produces mainly carbon dioxide gas. Coal is processed in industry to get some useful products such as coke, coal tar and coal gas. Coke It is a tough, porous and black substance. It is an almost pure form of carbon. Coke is used in the manufacture of steel and in the extraction of many metals.
 "
Name some useful products obtained from coal when it is processed in industry.,"Coal is processed in industry to get some useful products such as coke, coal-tar and coal gas.","When heated in air, coal burns and produces mainly carbon dioxide gas. Coal is processed in industry to get some useful products such as coke, coal tar and coal gas. Coke It is a tough, porous and black substance. It is an almost pure form of carbon. Coke is used in the manufacture of steel and in the extraction of many metals.
 about 200 substances. Products obtained from coal tar are used as starting materials for manufacturing various substances used in everyday life and in industry, like synthetic dyes, drugs, explosives, per fumes, plastics, paints, photographic materials, roofing materials, etc. Interestingly, naphthalene balls used to repel moths and other insects are also obtained from coal tar. These days, bitumen, a petroleum product, is used in place of coal-tar for metalling the roads.
 about 200 substances. Products obtained from coal tar are used as starting materials for manufacturing various substances used in everyday life and in industry, like synthetic dyes, drugs, explosives, per fumes, plastics, paints, photographic materials, roofing materials, etc. Interestingly, naphthalene balls used to repel moths and other insects are also obtained from coal tar. These days, bitumen, a petroleum product, is used in place of coal-tar for metalling the roads.
 Coal Tar It is a black, thick liquid (Fig. 5.3) with an unpleasant smell. It is a mixture of
 Coal Gas Coal gas is obtained during the processing of coal to get coke. It is used Coal gas was used for street lighting for the first time in London in 1810 and in New York around 1820. Now a days, it is used as a source of heat rather than light.
 "
Write one use of coal.,Coal is also used in thermal power plants to produce electricity.,"Coal is one of the fuels used to cook food. Earlier, it was used in railway engines to produce steam to run the engine. It is also used in thermal power plants to produce electricity. Coal is also used as a fuel in various industries. Story of Coal
 "
When was coal gas first used for street lightning in London ?,Coal gas was used for street lighting for the first time in London in 1810 and in New York around 1820.,"Coal Gas Coal gas is obtained during the processing of coal to get coke. It is used Coal gas was used for street lighting for the first time in London in 1810 and in New York around 1820. Now a days, it is used as a source of heat rather than light.
 "
Where is oil found in India ?,"Oil is found in India at Assam, Gujarat, Mumbai High and in the river basins of Godavari and Krishna.","transformed the dead organisms into petroleum and natural gas. Look at Fig. 5.4. It shows the deposits of petroleum and natural gas. You see that the layer containing petroleum oil and gas is above that of water. Why is it so? Recall that oil and gas are lighter than water and do not mix with it. The world’s first oil well was drilled in Pennsylvania, USA, in 1859. Eight years later, in 1867, oil was struck at Makum in Assam. In India, oil is found in Assam, Gujarat, Mumbai High and in the river basins of Godavari and Krishna.
 PETROLEUM
 refining petroleum. Ü
 PETROLEUM
 "
Why petroleum is also called black gold ?,"Due to its great commercial importance, petroleum is also called ‘Black Gold’.","PETROLEUM
 refining petroleum. Ü
 PETROLEUM
 PETROLEUM
 "
What are the uses of diesel ?,"Diesel is used as fuel for heavy motor vehicles, electric generators etc.","Diesel
 Fuel for heavy motor vehicles, electric generators
 Fuel for heavy motor vehicles, electric generators
 "
Q. 1.,Ans.,"A
 "
Q. 2.,Ans.,"A
 "
A single celled animal. Amoeba A human cell that can change shape. White Blood Cell. A cell in the human body that receives and transfers messages.,Nerve cell.,"Optic Nerve
 Plant Cell
 Animal Cell
 "
A group of similar cells performing a specific function.,Tissue.,"TISSUE
 "
What are the basic components of a cell ?,The basic components of cell are : — The cell membrane — Cytoplasm — Nucleus.,"The basic components of a cell are cell membrane, cytoplasm and nucleus (Fig. 8.7). The cytoplasm and nucleus are enclosed within the cell membrane, also called the plasma membrane. The membrane separates cells from one another and also the cell from the surrounding medium. The plasma membrane is porous and allows the 93
 "
A solution added to make onion peel slide.,Methylene blue.,"Fig. 2.7 : The Nitrogen fixing cyanobacteria (blue green algae)
 "
Various components present in cytoplasm. Name them.,"They are mitochondria, golgi bodies, ribosomes, vacuoles etc.","Cytoplasm It is the jelly-like substance present between the cell membrane and the nucleus. Various other components, or organelles, of cells are present in the cytoplasm. These are mitochondria, golgi bodies, ribosomes, etc. You will learn about them in later classes.
 "
Name the major threat to survival of great variety of plants and animals on earth.,Deforestation.,"Deforestation
 "
What are the factors that increases deforestation ?,Agricultural expansion and wood harvest for domestic fuel.,"AGRICULTURAL
 "
Less rainfall causes what ?,Drought.,"protects the crop from both frost and hot air currents. To maintain the moisture of the soil for healthy crop growth, fields have to be watered regularly. The supply of water to crops at regular intervals is called irrigation. The time and frequency of irrigation varies from crop to crop, soil to soil and season to season. In summer, the frequency of watering is higher. Why is it so? Could it be due to the increased rate of evaporation of water from the soil and the leaves? I am very careful this year about watering the plants. Last summer my plants dried up and died.
 "
What is infiltration rate ?,The movement of water from the soil surface into the ground is called infiltration rate ?,"nitrogen from air into soil and increase the
 "
In which part of the earth living organism exists and supports life ?,Biosphere.,"Biosphere is that part of the earth in which living organisms exist or which supports life. Biological diversity or biodiversity, refers to the variety of organisms existing on the earth, their interrelationships and their relationship with the environment.
 "
Name the biosphere reserve where the plants and animals are found similar to the upper Himalayan peaks.,Pachmarhi Biosphere Reserve.,"SATPURA NATIONAL PARK PACHMARHI
 CHURNA DHAIN BORI BORI SANCTUARY
 Fig. 7.1 : Pachmarhi Biosphere Reserve 79
 Fig. 7.1 : Pachmarhi Biosphere Reserve 79
 "
Name the areas reserved for wildlife and can be used freely for habitats and natural resources.,National Park.,"National Park
 "
Name any two wildlife sanctuaries in Panchmarhi Biosphere Reserve.,"Bori, Pachmarhi.","PACHMARHI SANCTUARY
 SATPURA NATIONAL PARK PACHMARHI
 CHURNA DHAIN BORI BORI SANCTUARY
 "
Name the endemic flora of the Pachmarhi Biosphere Reserve.,Sal and wild mango.,"Fig. 7.3 (a) : Wild Mango
 "
Name the group of population that are capable of Inter-breeding.,Species.,"SPECIES ENDEMIC SPECIES
 "
What are celestial objects ?,"The stars, the planets, the moon and many objects in the sky are called celestial objects.1","Do all of them appear to twinkle? Do you find any star-like object which does not twinkle? The objects which do not twinkle are planets. The moon is the brightest object in the night sky. The stars, the planets, the moon and many other objects in the sky are called celestial objects.
 2021–22
 The study of celestial objects and associated phenomena is called astronomy. In acient India our ancestors per formed methodical observations of sky. Their knowledge of astronomy was highly advanced for their time. Passage of the Sun, stars, moon and planets in the sky helped them to devise calenders and almanacs. These were often used by people in their day to day conduct and a better understanding of climate and rainfall patterns for timely sowing and choice of crops, fixing the dates of seasons and festivals. Let us also make some observations of celestial objects and learn about them.
 Some planets are known to have moons/satellites revolving round them. Any celestial body revolving around another celestial body is called its satellite. The Earth can be said to be a satellite of the Sun, though generally we call it a
 "
What is full moon day ?,The day on which the whole disc of the moon is visible is known as full moon day.,"Is there a change in the shape of the moon everyday? Are there days when the shape of the moon appears to be perfectly round? Are there days when the moon cannot be seen at all even if the sky is clear? The day on which the whole disc of the moon is visible is known as the full moon day. Thereafter, every night the size of the bright part of the moon appears to become thinner and thinner. On the fifteenth day the moon is not visible. This day is known as the ‘new moon day’. The next day, only a small portion of the moon appears in the sky. This is known as the crescent moon. Then again the moon grows larger every day. On the fifteenth day once again we get a full view of the moon. The various shapes of the bright part of the moon as seen during a month are called phases of the moon (Fig. 17.2). Phases of the moon play an important role in our social life. Almost all festivals in India are celebrated according to the phases of the moon. For example, Diwali is celebrated on the new moon day; Budh Poornima and Guru Nanak’s birthday are celebrated on full moon day; Maha Shivratri is celebrated on thirteenth night of waning moon; Eidul-Fitr is observed on the day following the sighting of crescent moon. The time period between one full moon to the next full moon is slightly longer than 29 days. In many calendars this period is called a month.
 "
What is new moon day ?,On the fifteenth day the moon is not visible. This day is known as the new moon day. 1,"Is there a change in the shape of the moon everyday? Are there days when the shape of the moon appears to be perfectly round? Are there days when the moon cannot be seen at all even if the sky is clear? The day on which the whole disc of the moon is visible is known as the full moon day. Thereafter, every night the size of the bright part of the moon appears to become thinner and thinner. On the fifteenth day the moon is not visible. This day is known as the ‘new moon day’. The next day, only a small portion of the moon appears in the sky. This is known as the crescent moon. Then again the moon grows larger every day. On the fifteenth day once again we get a full view of the moon. The various shapes of the bright part of the moon as seen during a month are called phases of the moon (Fig. 17.2). Phases of the moon play an important role in our social life. Almost all festivals in India are celebrated according to the phases of the moon. For example, Diwali is celebrated on the new moon day; Budh Poornima and Guru Nanak’s birthday are celebrated on full moon day; Maha Shivratri is celebrated on thirteenth night of waning moon; Eidul-Fitr is observed on the day following the sighting of crescent moon. The time period between one full moon to the next full moon is slightly longer than 29 days. In many calendars this period is called a month.
 Why does the moon change its shape every day? Fig.17.2 : Phases of the moon 216
 "
What are phases of the moon ?,The various shapes of the bright part of the moon as seen during a month are called phases of the moon.,"PHASES OF MOON
 "
Who landed on the Moon first and when ?,"American astronaut, Neil Armstrong, landed on the moon for the first time on July 1969. 1","The Moon’s Surface The moon is a fascinating object for poets and story-tellers. But when astronauts landed on the moon, they found that the moon’s surface is dusty and barren. There are many craters of different sizes. It also has a large number of steep and high mountains (Fig. 17.7). Some of these are as high as the highest mountains on the Earth.
 Did you know? On July 21, 1969 (Indian time) the American astronaut, Neil Armstrong, landed on the moon for the first time. He was followed by Edwin Aldrin.
 Did you know? On July 21, 1969 (Indian time) the American astronaut, Neil Armstrong, landed on the moon for the first time. He was followed by Edwin Aldrin.
 NASA
 Fig. 17.8 : An astronaut on the moon
 "
What is the distance of Earth from the Sun ?,150 million km.,"150
 150
 150
 "
Why stars are not visible during the day time ?,The stars are present in the sky during the day time also. They are not visible because of bright sunlight.,"In fact, the stars are present in the sky during the day-time also. However, they are not visible then because of the bright sunlight. Observe some prominent star or a group of stars in the sky for about two hours or more. What do you find? Do you find any change in the positions of stars in the sky? You will find that the stars appear to move from east to west. A star which rises in the east in the evening, sets in the west in the early morning. Why do stars appear to move from east to west? Let us find out.
 Sometimes Venus appears in the eastern sky before sunrise. Sometimes it appears in the western sky just after sunset. Therefore it is often called a morning or an evening star, although it is not a star. Try to locate Venus in the night sky. Venus has no moon or satellite of its own. Rotation of Venus on its axis is somewhat unusual. It rotates from east to west while the Earth rotates from west to east.
 Activity 17.10 Find out from some newspaper or from an almanac the time when Venus is visible in the sky. You can easily recognise Venus by its brightness. Remember that Venus cannot be seen very high in the sky. You must try to observe Venus either 1-3 hours before sunrise or 1-3 hours after sunset.
 "
What do you mean by constellation ? Name any two.,The stars forming a group that has recognizable shape is called a constellation Ursa major & Orion.,"17.3 Constellations Look at the sky for some time. Can you see some stars forming groups with shapes like those in Fig. 17.11. The stars forming a group that has a recognisable shape is called a constellation. Constellations were devised by ancient people to be able to recognise stars in the sky. The shapes of constellations resemble objects familiar to those people.
 "
